FUND TYPE,FUND CODE,FUND DESCRIPTION,DEPARTMENT NUMBER,DEPARTMENT,DEPARTMENT DESCRIPTION,APPROPRIATION AUTHORITY,APPROPRIATION AUTHORITY DESCRIPTION,APPROPRIATION ACCOUNT,APPROPRIATION ACCOUNT DESCRIPTION,AMOUNT
LOCAL,100,CORPORATE FUND,39,BOEC,BOARD OF ELECTION COMMISSIONER,2005,2005 - ELECTION AND ADMIN DIVISION,5,SALARIES AND WAGES - ON PAYROLL,$6831849.00
LOCAL,100,CORPORATE FUND,39,BOEC,BOARD OF ELECTION COMMISSIONER,2005,2005 - ELECTION AND ADMIN DIVISION,15,SCHEDULE SALARY ADJ,$27342.00
LOCAL,100,CORPORATE FUND,39,BOEC,BOARD OF ELECTION COMMISSIONER,2005,2005 - ELECTION AND ADMIN DIVISION,20,OVERTIME,$402744.00
LOCAL,100,CORPORATE FUND,39,BOEC,BOARD OF ELECTION COMMISSIONER,2005,2005 - ELECTION AND ADMIN DIVISION,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,$-607288.00
LOCAL,100,CORPORATE FUND,39,BOEC,BOARD OF ELECTION COMMISSIONER,2005,2005 - ELECTION AND ADMIN DIVISION,55,EXTRA HIRE,$5387540.00
LOCAL,100,CORPORATE FUND,39,BOEC,BOARD OF ELECTION COMMISSIONER,2005,2005 - ELECTION AND ADMIN DIVISION,130,POSTAGE,$366256.00
LOCAL,100,CORPORATE FUND,39,BOEC,BOARD OF ELECTION COMMISSIONER,2005,2005 - ELECTION AND ADMIN DIVISION,138,PROF SERV-IT MAINT,$703500.00
LOCAL,100,CORPORATE FUND,39,BOEC,BOARD OF ELECTION COMMISSIONER,2005,2005 - ELECTION AND ADMIN DIVISION,140,PROF & TECHNICAL SERVICES,$432800.00
LOCAL,100,CORPORATE FUND,39,BOEC,BOARD OF ELECTION COMMISSIONER,2005,2005 - ELECTION AND ADMIN DIVISION,143,COURT REPORTING,$80000.00
LOCAL,100,CORPORATE FUND,39,BOEC,BOARD OF ELECTION COMMISSIONER,2005,2005 - ELECTION AND ADMIN DIVISION,145,LEGAL EXPENSES,$1055200.00
LOCAL,100,CORPORATE FUND,39,BOEC,BOARD OF ELECTION COMMISSIONER,2005,2005 - ELECTION AND ADMIN DIVISION,149,SOFTWARE MAINT/LICENSING,$198782.00
LOCAL,100,CORPORATE FUND,39,BOEC,BOARD OF ELECTION COMMISSIONER,2005,2005 - ELECTION AND ADMIN DIVISION,150,PUBLICATN & REPRODT-OUT,$869241.00
LOCAL,100,CORPORATE FUND,39,BOEC,BOARD OF ELECTION COMMISSIONER,2005,2005 - ELECTION AND ADMIN DIVISION,152,ADVERTISING,$171400.00
LOCAL,100,CORPORATE FUND,39,BOEC,BOARD OF ELECTION COMMISSIONER,2005,2005 - ELECTION AND ADMIN DIVISION,154,RENTAL-DATA HARDWARE EQ,$18000.00
LOCAL,100,CORPORATE FUND,39,BOEC,BOARD OF ELECTION COMMISSIONER,2005,2005 - ELECTION AND ADMIN DIVISION,155,RENTAL OF PROPERTY,$498700.00
LOCAL,100,CORPORATE FUND,39,BOEC,BOARD OF ELECTION COMMISSIONER,2005,2005 - ELECTION AND ADMIN DIVISION,157,RENTAL EQUIPMENT AND SERVICES,$195400.00
LOCAL,100,CORPORATE FUND,39,BOEC,BOARD OF ELECTION COMMISSIONER,2005,2005 - ELECTION AND ADMIN DIVISION,159,LEASE PURCHASE AGREEMNT,$165820.00
LOCAL,100,CORPORATE FUND,39,BOEC,BOARD OF ELECTION COMMISSIONER,2005,2005 - ELECTION AND ADMIN DIVISION,162,REPAIR/MAINT EQUIPMENT,$111800.00
LOCAL,100,CORPORATE FUND,39,BOEC,BOARD OF ELECTION COMMISSIONER,2005,2005 - ELECTION AND ADMIN DIVISION,166,DUES  SUBSC & MEM,$4400.00
LOCAL,100,CORPORATE FUND,39,BOEC,BOARD OF ELECTION COMMISSIONER,2005,2005 - ELECTION AND ADMIN DIVISION,169,TECHNICAL MEETING COSTS,$6000.00
LOCAL,100,CORPORATE FUND,39,BOEC,BOARD OF ELECTION COMMISSIONER,2005,2005 - ELECTION AND ADMIN DIVISION,172,INSURANCE PREMIUMS,$1800.00
LOCAL,100,CORPORATE FUND,39,BOEC,BOARD OF ELECTION COMMISSIONER,2005,2005 - ELECTION AND ADMIN DIVISION,178,FREIGHT/EXPENSE CHARGES,$900400.00
LOCAL,100,CORPORATE FUND,39,BOEC,BOARD OF ELECTION COMMISSIONER,2005,2005 - ELECTION AND ADMIN DIVISION,181,MOBILE COMM SERVICES,$466000.00
LOCAL,100,CORPORATE FUND,39,BOEC,BOARD OF ELECTION COMMISSIONER,2005,2005 - ELECTION AND ADMIN DIVISION,190,TELEPHONE-CENTREX,$418500.00
LOCAL,100,CORPORATE FUND,39,BOEC,BOARD OF ELECTION COMMISSIONER,2005,2005 - ELECTION AND ADMIN DIVISION,229,TRAN/EXP ALLOWANCE,$22000.00
LOCAL,100,CORPORATE FUND,39,BOEC,BOARD OF ELECTION COMMISSIONER,2005,2005 - ELECTION AND ADMIN DIVISION,245,REIMBURSEMENT TRAVELERS,$4200.00
LOCAL,100,CORPORATE FUND,39,BOEC,BOARD OF ELECTION COMMISSIONER,2005,2005 - ELECTION AND ADMIN DIVISION,270,LOCAL TRANSPORTATION,$17500.00
LOCAL,100,CORPORATE FUND,39,BOEC,BOARD OF ELECTION COMMISSIONER,2005,2005 - ELECTION AND ADMIN DIVISION,340,MATERIAL AND SUPPLIES,$452930.00
LOCAL,100,CORPORATE FUND,39,BOEC,BOARD OF ELECTION COMMISSIONER,2005,2005 - ELECTION AND ADMIN DIVISION,350,STATIONERY AND OFFICE SUPPL,$19460.00
LOCAL,100,CORPORATE FUND,78,BOE,BOARD OF ETHICS,2005,2005 - BOARD OF ETHICS,5,SALARIES AND WAGES - ON PAYROLL,$562800.00
LOCAL,100,CORPORATE FUND,78,BOE,BOARD OF ETHICS,2005,2005 - BOARD OF ETHICS,15,SCHEDULE SALARY ADJ,$1892.00
LOCAL,100,CORPORATE FUND,78,BOE,BOARD OF ETHICS,2005,2005 - BOARD OF ETHICS,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,$-51777.00
LOCAL,100,CORPORATE FUND,78,BOE,BOARD OF ETHICS,2005,2005 - BOARD OF ETHICS,130,POSTAGE,$6169.00
LOCAL,100,CORPORATE FUND,78,BOE,BOARD OF ETHICS,2005,2005 - BOARD OF ETHICS,140,PROF & TECHNICAL SERVICES,$54000.00
LOCAL,100,CORPORATE FUND,78,BOE,BOARD OF ETHICS,2005,2005 - BOARD OF ETHICS,150,PUBLICATN & REPRODT-OUT,$100.00
LOCAL,100,CORPORATE FUND,78,BOE,BOARD OF ETHICS,2005,2005 - BOARD OF ETHICS,162,REPAIR/MAINT EQUIPMENT,$11124.00
LOCAL,100,CORPORATE FUND,78,BOE,BOARD OF ETHICS,2005,2005 - BOARD OF ETHICS,169,TECHNICAL MEETING COSTS,$540.00
LOCAL,100,CORPORATE FUND,78,BOE,BOARD OF ETHICS,2005,2005 - BOARD OF ETHICS,190,TELEPHONE-CENTREX,$4000.00
LOCAL,100,CORPORATE FUND,78,BOE,BOARD OF ETHICS,2005,2005 - BOARD OF ETHICS,196,DATA CIRCUITS,$950.00
