FUND TYPE,FUND CODE,FUND DESCRIPTION,DEPARTMENT NUMBER,DEPARTMENT DESCRIPTION,APPROPRIATION AUTHORITY,APPROPRIATION AUTHORITY DESCRIPTION,APPROPRIATION ACCOUNT,APPROPRIATION ACCOUNT DESCRIPTION,2012 ORDINANCE (AMOUNT $)
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,5,SALARIES AND WAGES - ON PAYROLL,$5142155
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,126,OFFICE CONVENIENCES,$1200
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,130,POSTAGE,$23400
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,150,PUBLICATN & REPRODT-OUT,$1000
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,157,RENTAL EQUIPMENT AND SERVICES,$49500
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,159,LEASE PURCHASE AGREEMNT,$63500
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,162,REPAIR/MAINT EQUIPMENT,$6984
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,166,DUES  SUBSC & MEM,$18500
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,169,TECHNICAL MEETING COSTS,$5286
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,181,MOBILE COMM SERVICES,$39730
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,190,TELEPHONE-CENTREX,$56000
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,196,DATA CIRCUITS,$3800
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,197,TELEPHONE-MAINTENANCE,$30000
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,229,TRAN/EXP ALLOWANCE,$680
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,245,REIMBURSEMENT TRAVELERS,$23280
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,270,LOCAL TRANSPORTATION,$872
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,350,STATIONERY AND OFFICE SUPPL,$48500
Local,100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,5,SALARIES AND WAGES - ON PAYROLL,$2347185
Local,100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,15,SCHEDULE SALARY ADJ,$8113
Local,100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,20,OVERTIME,$1250
Local,100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,130,POSTAGE,$820
Local,100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,138,PROF SERV-IT MAINT,$5000
Local,100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,140,PROF & TECHNICAL SERVICES,$48157
Local,100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,149,SOFTWARE MAINT/LICENSING,$1649
Local,100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,154,RENTAL-DATA HARDWARE EQ,$22771
Local,100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,157,RENTAL EQUIPMENT AND SERVICES,$28990
Local,100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,159,LEASE PURCHASE AGREEMNT,$9231
Local,100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,162,REPAIR/MAINT EQUIPMENT,$1487
Local,100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,166,DUES  SUBSC & MEM,$721
Local,100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,169,TECHNICAL MEETING COSTS,$21728
Local,100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,181,MOBILE COMM SERVICES,$42117
Local,100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,189,TELEPHONE NON-CENTREX,$51945
Local,100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,245,REIMBURSEMENT TRAVELERS,$558
Local,100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,270,LOCAL TRANSPORTATION,$3875
Local,100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,320,GASOLINE,$5138
Local,100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,340,MATERIAL AND SUPPLIES,$6036
Local,100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,348,BOOKS AND RELATED MTL,$2032
Local,100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,350,STATIONERY AND OFFICE SUPPL,$9761
Local,100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,700,CONTINGENCIES,$12784
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,5,SALARIES AND WAGES - ON PAYROLL,$1544126
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,15,SCHEDULE SALARY ADJ,$3146
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,39,STUDENT AS TRAINEES,$37500
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,130,POSTAGE,$3500
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,140,PROF & TECHNICAL SERVICES,$4500
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,152,ADVERTISING,$2000
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,157,RENTAL EQUIPMENT AND SERVICES,$19000
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,169,TECHNICAL MEETING COSTS,$1000
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,181,MOBILE COMM SERVICES,$4000
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,190,TELEPHONE-CENTREX,$26000
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,197,TELEPHONE-MAINTENANCE,$8000
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,245,REIMBURSEMENT TRAVELERS,$500
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,270,LOCAL TRANSPORTATION,$1000
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,348,BOOKS AND RELATED MTL,$650
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,350,STATIONERY AND OFFICE SUPPL,$5400
Local,100,CORPORATE FUND,6,DOIT,2005,DOIT,5,SALARIES AND WAGES - ON PAYROLL,$6566228
Local,100,CORPORATE FUND,6,DOIT,2005,DOIT,15,SCHEDULE SALARY ADJ,$13720
Local,100,CORPORATE FUND,6,DOIT,2005,DOIT,130,POSTAGE,$2000
Local,100,CORPORATE FUND,6,DOIT,2005,DOIT,138,PROF SERV-IT MAINT,$5431438
Local,100,CORPORATE FUND,6,DOIT,2005,DOIT,149,SOFTWARE MAINT/LICENSING,$5280494
Local,100,CORPORATE FUND,6,DOIT,2005,DOIT,162,REPAIR/MAINT EQUIPMENT,$320408
Local,100,CORPORATE FUND,6,DOIT,2005,DOIT,166,DUES  SUBSC & MEM,$29100
Local,100,CORPORATE FUND,6,DOIT,2005,DOIT,169,TECHNICAL MEETING COSTS,$47850
Local,100,CORPORATE FUND,6,DOIT,2005,DOIT,181,MOBILE COMM SERVICES,$41760
Local,100,CORPORATE FUND,6,DOIT,2005,DOIT,186,PAGERS,$7400
Local,100,CORPORATE FUND,6,DOIT,2005,DOIT,190,TELEPHONE-CENTREX,$65000
Local,100,CORPORATE FUND,6,DOIT,2005,DOIT,196,DATA CIRCUITS,$960320
Local,100,CORPORATE FUND,6,DOIT,2005,DOIT,197,TELEPHONE-MAINTENANCE,$24000
Local,100,CORPORATE FUND,6,DOIT,2005,DOIT,245,REIMBURSEMENT TRAVELERS,$5000
Local,100,CORPORATE FUND,6,DOIT,2005,DOIT,270,LOCAL TRANSPORTATION,$2500
Local,100,CORPORATE FUND,6,DOIT,2005,DOIT,340,MATERIAL AND SUPPLIES,$19300
Local,100,CORPORATE FUND,6,DOIT,2005,DOIT,348,BOOKS AND RELATED MTL,$3000
Local,100,CORPORATE FUND,6,DOIT,2005,DOIT,350,STATIONERY AND OFFICE SUPPL,$11500
Local,100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,5,SALARIES AND WAGES - ON PAYROLL,$6252503
Local,100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,17,CITY COUNCIL-SALARY INC,$8824200
Local,100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,39,STUDENT AS TRAINEES,$140000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,181,MOBILE COMM SERVICES,$1540
Local,100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,190,TELEPHONE-CENTREX,$85000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,197,TELEPHONE-MAINTENANCE,$6500
Local,100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,245,REIMBURSEMENT TRAVELERS,$6000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,700,CONTINGENCIES,$43000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,982,EXP FOR HEROSIM,$1000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,9001,TEXT FILE - EXTRA LONG,$1326000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,9008,TEXT FILE - EXTRA LONG,$3664000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,9010,TEXT FILE - EXTRA LONG,$92072
Local,100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,9072,TEXT FILE - EXTRA LONG,$4000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,5,SALARIES AND WAGES - ON PAYROLL,$1698740
Local,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,130,POSTAGE,$16000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,140,PROF & TECHNICAL SERVICES,$12500
Local,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,143,COURT REPORTING,$20000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,157,RENTAL EQUIPMENT AND SERVICES,$65000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,166,DUES  SUBSC & MEM,$2000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,169,TECHNICAL MEETING COSTS,$2500
Local,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,190,TELEPHONE-CENTREX,$23000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,197,TELEPHONE-MAINTENANCE,$4800
Local,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,229,TRAN/EXP ALLOWANCE,$8000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,340,MATERIAL AND SUPPLIES,$3500
Local,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,348,BOOKS AND RELATED MTL,$3000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,350,STATIONERY AND OFFICE SUPPL,$45000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,700,CONTINGENCIES,$100
Local,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,9005,LEGAL FEES COMT FINANCE,$50000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,9006,LEGAL ASSISTANCE FINANC,$50000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,9010,TEXT FILE - EXTRA LONG,$92500
Local,100,CORPORATE FUND,15,CITY COUNCIL,2015,LEGISLATIVE INSPECTOR GENERAL,140,PROF & TECHNICAL SERVICES,$60000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2214,COMMITTEE ON BUDGET/GOVNTL OPS,0,PERSONNEL SERVICES,$468750
Local,100,CORPORATE FUND,15,CITY COUNCIL,2214,COMMITTEE ON BUDGET/GOVNTL OPS,100,CONTRACTUAL SERVICES,$15000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2214,COMMITTEE ON BUDGET/GOVNTL OPS,300,COMMODITIES AND MATERIALS,$12000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2214,COMMITTEE ON BUDGET/GOVNTL OPS,400,EQUIPMENT,$9500
Local,100,CORPORATE FUND,15,CITY COUNCIL,2214,COMMITTEE ON BUDGET/GOVNTL OPS,700,CONTINGENCIES,$15000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2220,COMMITTEE ON AVIATION,0,PERSONNEL SERVICES,$102843
Local,100,CORPORATE FUND,15,CITY COUNCIL,2220,COMMITTEE ON AVIATION,100,CONTRACTUAL SERVICES,$200
Local,100,CORPORATE FUND,15,CITY COUNCIL,2220,COMMITTEE ON AVIATION,300,COMMODITIES AND MATERIALS,$500
Local,100,CORPORATE FUND,15,CITY COUNCIL,2220,COMMITTEE ON AVIATION,700,CONTINGENCIES,$750
Local,100,CORPORATE FUND,15,CITY COUNCIL,2225,COMMITTEE ON LICENSES,0,PERSONNEL SERVICES,$102081
Local,100,CORPORATE FUND,15,CITY COUNCIL,2225,COMMITTEE ON LICENSES,100,CONTRACTUAL SERVICES,$17500
Local,100,CORPORATE FUND,15,CITY COUNCIL,2225,COMMITTEE ON LICENSES,300,COMMODITIES AND MATERIALS,$500
Local,100,CORPORATE FUND,15,CITY COUNCIL,2235,COMMITTEE ON PUBLIC SAFETY,0,PERSONNEL SERVICES,$119289
Local,100,CORPORATE FUND,15,CITY COUNCIL,2235,COMMITTEE ON PUBLIC SAFETY,100,CONTRACTUAL SERVICES,$1000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2235,COMMITTEE ON PUBLIC SAFETY,300,COMMODITIES AND MATERIALS,$1000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2235,COMMITTEE ON PUBLIC SAFETY,700,CONTINGENCIES,$500
Local,100,CORPORATE FUND,15,CITY COUNCIL,2240,COMM ON HEALTH AND ENVIRONMENT,0,PERSONNEL SERVICES,$87670
Local,100,CORPORATE FUND,15,CITY COUNCIL,2240,COMM ON HEALTH AND ENVIRONMENT,100,CONTRACTUAL SERVICES,$200
Local,100,CORPORATE FUND,15,CITY COUNCIL,2240,COMM ON HEALTH AND ENVIRONMENT,300,COMMODITIES AND MATERIALS,$800
Local,100,CORPORATE FUND,15,CITY COUNCIL,2240,COMM ON HEALTH AND ENVIRONMENT,700,CONTINGENCIES,$500
Local,100,CORPORATE FUND,15,CITY COUNCIL,2245,COMMITTEE ON COMMT RULES ETHIC,0,PERSONNEL SERVICES,$157960
Local,100,CORPORATE FUND,15,CITY COUNCIL,2245,COMMITTEE ON COMMT RULES ETHIC,100,CONTRACTUAL SERVICES,$2000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2245,COMMITTEE ON COMMT RULES ETHIC,300,COMMODITIES AND MATERIALS,$500
Local,100,CORPORATE FUND,15,CITY COUNCIL,2255,COMM ON ECONOMIC/CAPITAL/TECH,0,PERSONNEL SERVICES,$107635
